Model,Brand,Price,Max power,Max torque,Cooling System,Transmission,Transmission type,displacement,cylinders,Fuel Tank Capacity,Mileage,Top speed,Kerb weight,Location,Kilometer Driven,Seller Type,ground clearance,seat height
Royal Enfield Hunter 350,Royal Enfield,149900,20.2,27,air/oil cooled,5 speed manual,chain drive,349,1,13,36,114,177,Coimbatore,3500,Dealer,150,790
Royal Enfield Classic 350,Royal Enfield,190229,20.2,27,air/oil cooled,5 speed manual,chain drive,349,1,13,35,114,195,Chennai,5650,Dealer,170,805
Royal Enfield Bullet 350,Royal Enfield,157391,19.1,28,air cooled,5 speed manual,chain drive,346,1,13.5,38,110,186,Madurai,12000,Dealer,135,800
Royal Enfield Continental GT 650,Royal Enfield,304945,47,52,air/oil cooled,6 speed manual,chain drive,648,2,12.5,25,169,198,Trichy,23000,Dealer,174,793
Royal Enfield Meteor 350,Royal Enfield,200924,20.2,27,air/oil cooled,5 speed manual,chain drive,349,1,15,35,112,191,Kanyakumari,21000,Dealer,170,765
Royal Enfield Himalayan,Royal Enfield,215869,24.3,32,air cooled,5 speed manual,chain drive,411,1,15,30,120,199,Salem,60000,Dealer,220,800
Royal Enfield Interceptor 650,Royal Enfield,288141,47,52,air/oil cooled,6 speed manual,chain drive,648,2,13.7,23,169,202,Tirupur,17000,Dealer,174,804
Royal Enfield Scram 411,Royal Enfield,202923,24.3,32,air cooled,5 speed manual,chain drive,411,1,15,29,138,185,Erode,39000,Dealer,200,795
TVS Raider 125,TVS,90524,11.2,11.2,air/oil cooled,5 speed manual,chain drive,124.8,1,10,57,99,123,Krishnagiri,32000,Dealer,180,780
Apache,TVS,118381,15.31,13.9,air cooled,5 speed manual,chain drive,159.7,1,12,45,107,139,Coimbatore,42000,Dealer,180,790
Apache,TVS,122410,17.31,14.73,oil cooled,5 speed manual,chain drive,159.7,1,12,45,114,144,Chennai,32000,Dealer,180,800
TVS Ronin,TVS,149000,20.1,19.93,oil cooled,5 speed manual,chain drive,225.9,1,14,40,120,159,Madurai,10000,Dealer,181,795
TVS Ntorq 125,TVS,85995,9.25,10.5,air cooled,automatic,cvt,124.8,1,5.8,40,95,118,Trichy,21178,Dealer,155,770
TVS Sport,TVS,61577,8.18,8.7,air cooled,4 speed manual,chain drive,109.7,1,10,70,90,110,Kanyakumari,1127,Dealer,175,790
Apache,TVS,264987,33.5,27.3,liquid cooled,6 speed manual,chain drive,312.2,1,11,30.5,160,174,Salem,1700,Dealer,180,810
Apache,TVS,141058,20.54,17.25,oil cooled,5 speed manual,chain drive,197.75,1,12,39,127,152,Tirupur,55000,Dealer,180,800
TVS Jupiter,TVS,76461,7.77,8.8,air cooled,automatic,cvt,109.7,1,6,50,78,107,Erode,27000,Dealer,163,765
